"cuenta","propina","sex","fumador","día","hora","tamaño"
16.99,1.01,"Mujer","No","Domingo","Comida",2
10.34,1.66,"Hombre","No","Domingo","Comida",3
21.01,3.5,"Hombre","No","Domingo","Comida",3
23.68,3.31,"Hombre","No","Domingo","Comida",2
24.59,3.61,"Mujer","No","Domingo","Comida",4
25.29,4.71,"Hombre","No","Domingo","Comida",4
8.77,2,"Hombre","No","Domingo","Comida",2
26.88,3.12,"Hombre","No","Domingo","Comida",4
15.04,1.96,"Hombre","No","Domingo","Comida",2
14.78,3.23,"Hombre","No","Domingo","Comida",2
10.27,1.71,"Hombre","No","Domingo","Comida",2
35.26,5,"Mujer","No","Domingo","Comida",4
15.42,1.57,"Hombre","No","Domingo","Comida",2
18.43,3,"Hombre","No","Domingo","Comida",4
14.83,3.02,"Mujer","No","Domingo","Comida",2
21.58,3.92,"Hombre","No","Domingo","Comida",2
10.33,1.67,"Mujer","No","Domingo","Comida",3
16.29,3.71,"Hombre","No","Domingo","Comida",3
16.97,3.5,"Mujer","No","Domingo","Comida",3
20.65,3.35,"Hombre","No","Sábado","Comida",3
17.92,4.08,"Hombre","No","Sábado","Comida",2
20.29,2.75,"Mujer","No","Sábado","Comida",2
15.77,2.23,"Mujer","No","Sábado","Comida",2
39.42,7.58,"Hombre","No","Sábado","Comida",4
19.82,3.18,"Hombre","No","Sábado","Comida",2
17.81,2.34,"Hombre","No","Sábado","Comida",4
13.37,2,"Hombre","No","Sábado","Comida",2
12.69,2,"Hombre","No","Sábado","Comida",2
21.7,4.3,"Hombre","No","Sábado","Comida",2
19.65,3,"Mujer","No","Sábado","Comida",2
9.55,1.45,"Hombre","No","Sábado","Comida",2
18.35,2.5,"Hombre","No","Sábado","Comida",4
15.06,3,"Mujer","No","Sábado","Comida",2
20.69,2.45,"Mujer","No","Sábado","Comida",4
17.78,3.27,"Hombre","No","Sábado","Comida",2
24.06,3.6,"Hombre","No","Sábado","Comida",3
16.31,2,"Hombre","No","Sábado","Comida",3
16.93,3.07,"Mujer","No","Sábado","Comida",3
18.69,2.31,"Hombre","No","Sábado","Comida",3
31.27,5,"Hombre","No","Sábado","Comida",3
16.04,2.24,"Hombre","No","Sábado","Comida",3
17.46,2.54,"Hombre","No","Domingo","Comida",2
13.94,3.06,"Hombre","No","Domingo","Comida",2
9.68,1.32,"Hombre","No","Domingo","Comida",2
30.4,5.6,"Hombre","No","Domingo","Comida",4
18.29,3,"Hombre","No","Domingo","Comida",2
22.23,5,"Hombre","No","Domingo","Comida",2
32.4,6,"Hombre","No","Domingo","Comida",4
28.55,2.05,"Hombre","No","Domingo","Comida",3
18.04,3,"Hombre","No","Domingo","Comida",2
12.54,2.5,"Hombre","No","Domingo","Comida",2
10.29,2.6,"Mujer","No","Domingo","Comida",2
34.81,5.2,"Mujer","No","Domingo","Comida",4
9.94,1.56,"Hombre","No","Domingo","Comida",2
25.56,4.34,"Hombre","No","Domingo","Comida",4
19.49,3.51,"Hombre","No","Domingo","Comida",2
38.01,3,"Hombre","Yes","Sábado","Comida",4
26.41,1.5,"Mujer","No","Sábado","Comida",2
11.24,1.76,"Hombre","Yes","Sábado","Comida",2
48.27,6.73,"Hombre","No","Sábado","Comida",4
20.29,3.21,"Hombre","Yes","Sábado","Comida",2
13.81,2,"Hombre","Yes","Sábado","Comida",2
