número de artículos,precio,sexo,día
27, 42.15,Mujer,jueves
26, 60.26,Mujer,jueves
20, 28.12,Hombre,miércoles
24, 47.48,Hombre,domingo
17, 50.88,Mujer,sábado
13, 29.12,Mujer,sábado
25, 69.48,Hombre,sábado
22, 40.45,Mujer,sábado
15, 47.58,Mujer,sábado
15, 31.70,Mujer,sábado
23, 38.31,Hombre,lunes
28, 60.39,Mujer,jueves
25, 56.91,Mujer,viernes
21, 58.03,Mujer,domingo
16, 23.22,Hombre,sábado
14, 31.22,Mujer,miércoles
32, 69.77,Hombre,miércoles
19, 41.67,Mujer,jueves
29, 44.45,Mujer,jueves
20, 46.57,Hombre,sábado
27, 22.86,Mujer,sábado
15, 28.99,Hombre,sábado
21, 32.91,Hombre,sábado
21, 50.27,Mujer,martes
28, 66.29,Hombre,sábado
21, 66.23,Hombre,jueves
21, 36.80,Hombre,jueves
13, 16.15,Hombre,lunes
18, 45.64,Mujer,sábado
13, 32.51,Mujer,sábado
19, 46.30,Hombre,domingo
19, 46.00,Mujer,jueves
20, 29.01,Mujer,lunes
19, 32.51,Mujer,sábado
16, 38.12,Hombre,sábado
12, 23.36,Hombre,domingo
17, 30.19,Hombre,jueves
22, 55.02,Mujer,miércoles
21, 53.90,Mujer,jueves
24, 57.38,Hombre,sábado
20, 41.49,Hombre,jueves
17, 29.07,Hombre,jueves
21, 42.78,Hombre,sábado
19, 31.52,Hombre,miércoles
20, 31.50,Mujer,domingo
21, 39.04,Hombre,jueves
21, 53.95,Mujer,domingo
22, 50.28,Hombre,lunes
32, 71.81,Mujer,sábado
18, 59.93,Hombre,sábado
21, 62.17,Mujer,jueves
21, 23.91,Hombre,sábado
14, 37.79,Mujer,jueves
16, 45.00,Hombre,sábado
19, 54.13,Hombre,sábado
20, 27.90,Mujer,sábado
24, 66.40,Mujer,sábado
23, 61.88,Mujer,sábado
24, 45.78,Hombre,sábado
19, 43.09,Hombre,jueves
18, 31.50,Hombre,jueves
19, 42.65,Mujer,miércoles
24, 52.26,Hombre,martes
22, 52.62,Mujer,sábado
16, 36.16,Mujer,viernes
11, 13.82,Hombre,miércoles
12, 29.31,Mujer,miércoles
13, 29.99,Mujer,domingo
26, 67.23,Hombre,jueves
13, 34.45,Mujer,sábado
23, 45.81,Mujer,domingo
19, 38.05,Mujer,sábado
9, 18.92,Hombre,jueves
14, 22.92,Mujer,miércoles
21, 29.01,Mujer,sábado
12, 34.43,Mujer,jueves
19, 27.24,Mujer,sábado
26, 42.63,Mujer,jueves
19, 42.67,Hombre,sábado
22, 33.28,Mujer,sábado
19, 27.00,Mujer,jueves
30, 60.23,Mujer,jueves
17, 30.01,Hombre,sábado
26, 58.54,Hombre,miércoles
20, 44.00,Hombre,domingo
27, 57.89,Hombre,jueves
18, 39.03,Mujer,jueves
32, 68.92,Mujer,sábado
19, 37.13,Hombre,jueves
25, 58.74,Mujer,sábado
22, 66.47,Mujer,domingo
27, 54.95,Hombre,sábado
20, 42.07,Hombre,jueves
23, 11.51,Mujer,jueves
19, 37.75,Hombre,jueves
32, 72.84,Mujer,sábado
23, 37.78,Hombre,lunes
36, 19.95,Mujer,martes
19, 50.21,Mujer,jueves
24, 47.21,Mujer,jueves
27, 59.50,Mujer,miércoles
15, 34.00,Mujer,martes
9, 17.45,Hombre,jueves
19, 39.06,Hombre,jueves
30, 56.65,Mujer,viernes
17, 25.82,Mujer,sábado
20, 40.37,Mujer,miércoles
22, 47.42,Hombre,sábado
13, 23.57,Hombre,domingo
15, 26.77,Mujer,domingo
28, 46.62,Mujer,sábado
17, 41.87,Hombre,miércoles
22, 66.22,Mujer,domingo
14, 27.99,Mujer,sábado
19, 30.05,Mujer,jueves
22, 41.69,Mujer,sábado
19, 30.32,Hombre,domingo
18, 44.28,Mujer,sábado
13, 29.53,Hombre,jueves
18, 36.90,Mujer,jueves
34, 37.51,Hombre,jueves
18, 30.11,Hombre,jueves
23, 38.55,Mujer,sábado
11, 13.97,Mujer,jueves
22, 44.54,Mujer,miércoles
25, 46.44,Mujer,sábado
23, 55.97,Hombre,lunes
23, 45.16,Mujer,miércoles
30, 64.12,Hombre,sábado
28, 34.39,Mujer,lunes
25, 46.21,Hombre,jueves
26, 56.12,Hombre,miércoles
23, 54.13,Hombre,jueves
15, 27.38,Mujer,miércoles
18, 31.77,Mujer,martes
22, 30.27,Hombre,jueves
23, 59.57,Mujer,jueves
21, 44.66,Hombre,viernes
18, 40.55,Mujer,jueves
29, 46.74,Hombre,sábado
29, 63.02,Mujer,jueves
27, 53.45,Mujer,sábado
21, 29.75,Hombre,sábado
24, 47.77,Mujer,miércoles
23, 53.99,Mujer,sábado
20, 22.03,Mujer,sábado
23, 56.92,Hombre,jueves
16, 19.98,Mujer,jueves
10, 24.81,Hombre,sábado
17, 37.09,Hombre,jueves
16, 44.48,Mujer,sábado
24, 74.28,Hombre,sábado
23, 39.56,Mujer,jueves
30, 58.14,Hombre,sábado
25, 47.43,Hombre,jueves
24, 58.16,Mujer,sábado
14, 22.30,Mujer,jueves
16, 36.35,Mujer,sábado
17, 27.65,Hombre,sábado
19, 37.10,Mujer,jueves
26, 38.00,Hombre,miércoles
24, 42.92,Hombre,sábado
17, 30.47,Hombre,miércoles
19, 53.98,Mujer,miércoles
18, 44.20,Mujer,lunes
22, 68.22,Mujer,sábado
29, 28.30,Hombre,domingo
23, 43.88,Hombre,miércoles
17, 32.34,Mujer,miércoles
28, 52.03,Mujer,jueves
26, 41.12,Hombre,sábado
20, 38.05,Mujer,miércoles
22, 46.45,Hombre,jueves
23, 41.60,Hombre,sábado
11, 30.93,Mujer,sábado
14, 33.72,Hombre,martes
21, 34.77,Mujer,jueves
23, 70.03,Hombre,jueves
24, 37.42,Hombre,martes
19, 32.27,Hombre,viernes
18, 29.56,Mujer,jueves
18, 39.32,Mujer,sábado
18, 20.83,Hombre,domingo
22, 38.38,Mujer,domingo
23, 53.06,Mujer,miércoles
22, 54.77,Mujer,miércoles
22, 36.66,Mujer,jueves
11, 27.43,Hombre,jueves
23, 29.67,Hombre,sábado
31, 42.22,Hombre,jueves
13, 34.00,Hombre,jueves
16, 30.10,Mujer,jueves
17, 34.72,Mujer,sábado
31, 67.69,Hombre,miércoles
18, 32.44,Hombre,miércoles
19, 59.95,Hombre,sábado
18, 37.54,Mujer,jueves
16, 41.04,Mujer,miércoles
14, 33.39,Hombre,sábado
22, 35.54,Hombre,jueves
15, 16.73,Hombre,sábado
25, 31.23,Hombre,miércoles
16, 43.77,Mujer,viernes
15, 37.03,Hombre,sábado
24, 58.76,Mujer,miércoles
23, 37.19,Mujer,sábado
26, 36.74,Mujer,miércoles
26, 37.25,Mujer,domingo
11, 32.64,Mujer,miércoles
23, 56.46,Hombre,sábado
12, 29.66,Hombre,lunes
17, 37.28,Mujer,jueves
18, 24.10,Mujer,jueves
16, 20.96,Hombre,jueves
22, 41.29,Hombre,sábado
17, 39.96,Mujer,jueves
23, 37.55,Hombre,martes
19, 43.19,Hombre,sábado
20, 43.62,Mujer,martes
23, 46.36,Mujer,sábado
13, 24.50,Hombre,jueves
21, 28.86,Hombre,domingo
24, 28.55,Mujer,domingo
19, 47.10,Mujer,miércoles
25, 52.45,Hombre,sábado
11, 14.81,Mujer,miércoles
15, 18.89,Hombre,miércoles
25, 66.91,Hombre,jueves
18, 26.88,Hombre,jueves
22, 38.81,Hombre,miércoles
19, 54.44,Mujer,miércoles
19, 57.55,Hombre,sábado
20, 22.87,Hombre,jueves
28, 70.09,Mujer,sábado
15, 32.39,Mujer,miércoles
20, 34.13,Mujer,sábado
22, 40.38,Hombre,domingo
24, 32.23,Hombre,sábado
18, 51.89,Hombre,sábado
20, 31.08,Hombre,sábado
27, 68.15,Mujer,sábado
22, 48.13,Mujer,domingo
26, 51.17,Hombre,jueves
23, 39.92,Mujer,jueves
26, 42.58,Mujer,martes
18, 41.79,Mujer,jueves
28, 62.13,Mujer,sábado
18, 27.08,Hombre,jueves
19, 30.49,Hombre,jueves
22, 33.14,Hombre,sábado
24, 54.43,Mujer,sábado
21, 66.84,Hombre,sábado
15, 34.04,Mujer,sábado
20, 59.73,Hombre,miércoles
11, 24.71,Mujer,sábado
22, 52.12,Hombre,miércoles
19, 31.67,Mujer,miércoles
16, 43.15,Hombre,sábado
22, 20.28,Mujer,sábado
18, 41.48,Hombre,sábado
20, 56.54,Mujer,domingo
31, 70.91,Hombre,sábado
18, 26.69,Mujer,sábado
25, 68.65,Mujer,sábado
25, 44.44,Hombre,sábado
19, 35.61,Mujer,miércoles
22, 24.66,Mujer,sábado
20, 48.57,Hombre,sábado
19, 28.35,Mujer,sábado
25, 60.53,Hombre,domingo
29, 58.71,Hombre,jueves
12, 20.05,Mujer,sábado
